D,"[2, 2, 2, 2]","[2, 2, 2, 3]","[2, 2, 3, 2]","[2, 2, 3, 3]","[2, 3, 2, 2]","[2, 3, 2, 3]","[2, 3, 3, 2]","[2, 3, 3, 3]","[3, 2, 2, 2]","[3, 2, 2, 3]","[3, 2, 3, 2]","[3, 2, 3, 3]","[3, 3, 2, 2]","[3, 3, 2, 3]","[3, 3, 3, 2]","[3, 3, 3, 3]"
"[1, 1, 1, 1, 1]",24,60,60,180,60,180,180,630,60,180,180,630,180,630,630,2520
"[1, 1, 1, 2, 1]",20,42,42,216,60,168,168,1080,60,168,168,1080,210,756,756,5940
"[1, 1, 2, 1, 1]",20,60,42,168,42,168,216,1080,60,210,168,756,168,756,1080,5940
"[1, 1, 2, 2, 1]",8,60,12,210,60,684,210,4896,36,330,78,1575,330,4446,1575,41616
"[1, 2, 1, 1, 1]",20,60,60,210,42,168,168,756,42,168,168,756,216,1080,1080,5940
"[1, 2, 1, 2, 1]",20,56,56,360,56,252,252,2376,56,252,252,2376,360,2376,2376,30888
"[1, 2, 2, 1, 1]",8,36,60,330,12,78,210,1575,60,330,684,4446,210,1575,4896,41616
"[1, 2, 2, 2, 1]",20,276,105,2796,105,2604,1764,73332,276,5166,2604,87426,2796,87426,73332,3676860
,,,,,,,,,,,,,,,,
Using M2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
D,"[2, 2, 2, 2]","[2, 2, 2, 3]","[2, 2, 3, 2]","[2, 2, 3, 3]","[2, 3, 2, 2]","[2, 3, 2, 3]","[2, 3, 3, 2]","[2, 3, 3, 3]","[3, 2, 2, 2]","[3, 2, 2, 3]","[3, 2, 3, 2]","[3, 2, 3, 3]","[3, 3, 2, 2]","[3, 3, 2, 3]","[3, 3, 3, 2]","[3, 3, 3, 3]"
"D[1, 1, 1, 1, 1]",24,60,60,180,60,180,180,630,60,180,180,630,180,630,630,2520
"D[1, 1, 1, 2, 1]",20,42,42,216,60,168,168,1080,60,168,168,1080,210,756,756,5940
"D[1, 1, 2, 1, 1]",20,60,42,168,42,168,216,1080,60,210,168,756,168,756,1080,5940
"D[1, 1, 2, 2, 1]",8,60,12,210,60,684,210,4896,36,330,78,1575,330,4446,1575,41616
"D[1, 2, 1, 1, 1]",20,60,60,210,42,168,168,756,42,168,168,756,216,1080,1080,5940
"D[1, 2, 1, 2, 1]",20,56,56,360,56,252,252,2376,56,252,252,2376,360,2376,2376,30888
"D[1, 2, 2, 1, 1]",8,36,60,330,12,78,210,1575,60,330,684,4446,210,1575,4896,41616
"D[1, 2, 2, 2, 1]",20,276,105,2796,105,2604,1764,73332,276,5166,2604,87426,2796,87426,73332,3676860
